Wisconsin, Precipitation, January-December
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
198012,33.43,2.14
198112,31.02,-0.27
198212,36.59,5.30
198312,34.79,3.50
198412,34.98,3.69
198512,36.86,5.57
198612,35.21,3.92
198712,28.58,-2.71
198812,25.59,-5.70
198912,24.48,-6.81
199012,36.01,4.72
199112,38.47,7.18
199212,31.01,-0.28
199312,35.65,4.36
199412,30.89,-0.40
199512,32.88,1.59
199612,33.00,1.71
199712,28.43,-2.86
199812,32.43,1.14
199912,33.25,1.96
200012,34.19,2.90
200112,35.05,3.76
200212,35.08,3.79
200312,28.02,-3.27
200412,34.91,3.62
200512,28.55,-2.74
200612,30.08,-1.21
200712,33.49,2.20
200812,32.72,1.43
200912,29.76,-1.53
201012,39.02,7.73
201112,31.04,-0.25
201212,28.80,-2.49
201312,36.53,5.24
201412,37.08,5.79
201512,35.88,4.59
201612,39.39,8.10
201712,37.57,6.28
201812,39.68,8.39
