Wyoming, Precipitation, January-December
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
198012,15.93,-0.01
198112,15.92,-0.02
198212,19.50,3.56
198312,18.77,2.83
198412,15.63,-0.31
198512,14.22,-1.72
198612,17.91,1.97
198712,14.86,-1.08
198812,11.42,-4.52
198912,15.02,-0.92
199012,15.38,-0.56
199112,17.09,1.15
199212,14.98,-0.96
199312,18.50,2.56
199412,14.02,-1.92
199512,20.28,4.34
199612,17.30,1.36
199712,17.98,2.04
199812,19.57,3.63
199912,15.94,0.00
200012,14.31,-1.63
200112,11.91,-4.03
200212,11.97,-3.97
200312,15.13,-0.81
200412,14.56,-1.38
200512,16.27,0.33
200612,12.74,-3.20
200712,15.05,-0.89
200812,16.05,0.11
200912,17.00,1.06
201012,17.25,1.31
201112,18.55,2.61
201212,10.96,-4.98
201312,16.32,0.38
201412,18.10,2.16
201512,16.71,0.77
201612,17.28,1.34
201712,18.66,2.72
201812,16.15,0.21
