Colorado, Precipitation, January-December
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
198012,17.81,-0.31
198112,18.79,0.67
198212,19.84,1.72
198312,21.92,3.80
198412,20.55,2.43
198512,20.51,2.39
198612,19.83,1.71
198712,18.82,0.70
198812,16.74,-1.38
198912,14.74,-3.38
199012,19.90,1.78
199112,18.65,0.53
199212,18.53,0.41
199312,19.90,1.78
199412,17.13,-0.99
199512,21.79,3.67
199612,19.85,1.73
199712,22.24,4.12
199812,18.77,0.65
199912,20.03,1.91
200012,16.91,-1.21
200112,16.81,-1.31
200212,11.85,-6.27
200312,16.44,-1.68
200412,18.93,0.81
200512,18.95,0.83
200612,18.67,0.55
200712,18.71,0.59
200812,17.46,-0.66
200912,18.79,0.67
201012,18.19,0.07
201112,17.62,-0.50
201212,12.31,-5.81
201312,18.79,0.67
201412,19.14,1.02
201512,21.73,3.61
201612,17.08,-1.04
201712,18.91,0.79
201812,14.96,-3.16
