Connecticut, Precipitation, January-December
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
198012,40.33,-6.54
198112,41.93,-4.94
198212,47.69,0.82
198312,63.01,16.14
198412,51.45,4.58
198512,42.42,-4.45
198612,46.69,-0.18
198712,44.43,-2.44
198812,42.94,-3.93
198912,57.55,10.68
199012,55.68,8.81
199112,47.77,0.90
199212,48.79,1.92
199312,45.75,-1.12
199412,50.41,3.54
199512,42.29,-4.58
199612,60.30,13.43
199712,42.68,-4.19
199812,50.08,3.21
199912,49.15,2.28
200012,48.74,1.87
200112,39.54,-7.33
200212,47.42,0.55
200312,56.12,9.25
200412,48.61,1.74
200512,54.68,7.81
200612,57.01,10.14
200712,45.54,-1.33
200812,59.53,12.66
200912,50.50,3.63
201012,48.54,1.67
201112,63.69,16.82
201212,39.39,-7.48
201312,43.39,-3.48
201412,45.01,-1.86
201512,37.08,-9.79
201612,36.73,-10.14
201712,44.10,-2.77
201812,62.09,15.22
