Delaware, Precipitation, January-December
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
198012,38.92,-4.43
198112,36.68,-6.67
198212,40.01,-3.34
198312,53.82,10.47
198412,44.02,0.67
198512,39.35,-4.00
198612,36.99,-6.36
198712,36.36,-6.99
198812,38.80,-4.55
198912,56.76,13.41
199012,43.03,-0.32
199112,41.84,-1.51
199212,40.54,-2.81
199312,44.44,1.09
199412,47.31,3.96
199512,38.39,-4.96
199612,57.90,14.55
199712,41.11,-2.24
199812,41.54,-1.81
199912,45.64,2.29
200012,46.19,2.84
200112,39.22,-4.13
200212,46.47,3.12
200312,57.82,14.47
200412,44.71,1.36
200512,46.87,3.52
200612,46.76,3.41
200712,38.40,-4.95
200812,42.61,-0.74
200912,55.94,12.59
201012,40.56,-2.79
201112,44.56,1.21
201212,39.32,-4.03
201312,50.75,7.40
201412,45.00,1.65
201512,46.27,2.92
201612,45.67,2.32
201712,44.53,1.18
201812,60.02,16.67
