Florida, Precipitation, January-December
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
198012,49.29,-4.36
198112,44.47,-9.18
198212,61.32,7.67
198312,64.89,11.24
198412,49.34,-4.31
198512,52.34,-1.31
198612,52.36,-1.29
198712,52.81,-0.84
198812,52.54,-1.11
198912,48.70,-4.95
199012,42.61,-11.04
199112,62.61,8.96
199212,56.18,2.53
199312,49.91,-3.74
199412,64.78,11.13
199512,59.10,5.45
199612,53.96,0.31
199712,59.65,6.00
199812,57.05,3.40
199912,49.69,-3.96
200012,40.29,-13.36
200112,52.21,-1.44
200212,58.49,4.84
200312,58.77,5.12
200412,57.22,3.57
200512,59.48,5.83
200612,41.00,-12.65
200712,43.72,-9.93
200812,53.13,-0.52
200912,53.77,0.12
201012,48.12,-5.53
201112,46.77,-6.88
201212,55.09,1.44
201312,56.87,3.22
201412,59.13,5.48
201512,52.86,-0.79
201612,53.41,-0.24
201712,58.63,4.98
201812,60.52,6.87
