Georgia, Precipitation, January-December
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
198012,47.07,-3.00
198112,42.09,-7.98
198212,53.28,3.21
198312,56.54,6.47
198412,48.00,-2.07
198512,47.08,-2.99
198612,42.50,-7.57
198712,44.99,-5.08
198812,43.65,-6.42
198912,55.32,5.25
199012,44.85,-5.22
199112,57.84,7.77
199212,58.74,8.67
199312,45.86,-4.21
199412,61.23,11.16
199512,49.67,-0.40
199612,48.70,-1.37
199712,57.29,7.22
199812,52.90,2.83
199912,40.86,-9.21
200012,41.38,-8.69
200112,41.80,-8.27
200212,49.72,-0.35
200312,57.23,7.16
200412,52.16,2.09
200512,54.74,4.67
200612,39.00,-11.07
200712,38.07,-12.00
200812,46.99,-3.08
200912,61.48,11.41
201012,43.04,-7.03
201112,40.11,-9.96
201212,42.02,-8.05
201312,63.49,13.42
201412,51.41,1.34
201512,55.74,5.67
201612,40.90,-9.17
201712,49.80,-0.27
201812,60.55,10.48
