year;_STATE;_COUNTY
1992;California;Mono
1966;Arizona;Coconino
1966;Arizona;Coconino
1966;Arizona;Coconino
1966;Arizona;Coconino
1966;Arizona;Coconino
1965;Arizona;Coconino
2003;Arizona;Yavapai
1980;Arizona;Yavapai
1980;Arizona;Yavapai
1970;Arizona;Yavapai
1972;Arizona;Yavapai
1972;Arizona;Yavapai
1972;Arizona;Yavapai
1972;Arizona;Yavapai
1972;Arizona;Yavapai
1972;Arizona;Yavapai
1972;Arizona;Yavapai
1972;Arizona;Yavapai
1975;Arizona;Yavapai
1972;Arizona;Yavapai
1972;Arizona;Yavapai
1972;Arizona;Yavapai
1972;Arizona;Yavapai
1972;Arizona;Yavapai
1966;Arizona;Yavapai
1972;Arizona;Yavapai
1972;Arizona;Yavapai
1972;Arizona;Yavapai
1972;Arizona;Yavapai
1972;Arizona;Yavapai
1972;Arizona;Yavapai
1972;Arizona;Yavapai
1972;Arizona;Yavapai
1972;Arizona;Yavapai
1972;Arizona;Yavapai
1972;Arizona;Yavapai
1972;Arizona;Yavapai
1972;Arizona;Yavapai
1972;Arizona;Yavapai
1972;Arizona;Yavapai
1972;Arizona;Yavapai
1972;Arizona;Yavapai
1972;Arizona;Yavapai
1972;Arizona;Yavapai
1965;Arizona;Yavapai
1972;Arizona;Yavapai
1972;Arizona;Yavapai
1972;Arizona;Yavapai
1972;Arizona;Yavapai
1972;Arizona;Yavapai
1972;Arizona;Yavapai
1966;Arizona;Yavapai
1966;Arizona;Yavapai
1972;Arizona;Yavapai
1972;Arizona;Yavapai
1972;Arizona;Yavapai
1972;Arizona;Yavapai
1972;Arizona;Yavapai
1972;Arizona;Yavapai
1966;Arizona;Yavapai
1972;Arizona;Yavapai
1972;Arizona;Yavapai
1966;Arizona;Yavapai
1972;Arizona;Yavapai
1972;Arizona;Yavapai
1966;Arizona;Yavapai
1966;Arizona;Yavapai
1966;Arizona;Yavapai
1966;Arizona;Yavapai
1972;Arizona;Yavapai
1966;Arizona;Yavapai
1966;Arizona;Yavapai
1972;Arizona;Yavapai
1966;Arizona;Yavapai
1966;Arizona;Yavapai
1966;Arizona;Yavapai
1972;Arizona;Yavapai
